Source Subdivision,Signal BaseName,base_is_other,Signal,Compute From Base,Name,Active,Short Description,Description,Source Name,Signal Set,"Pathogen/
Disease Area",Signal Type,Geographic Scope,Available Geography,Delphi-Aggregated Geography,Temporal Scope Start,Temporal Scope Start Note,Temporal Scope End,Temporal Scope End Note,Time Type,Time Label,Reporting Cadence,Typical Reporting Lag,Typical Revision Cadence,Demographic Scope,Demographic Breakdowns,Severity Pyramid Rungs,Data Censoring,Missingness,Value Label,Format,Category,High Values Are,Is Smoothed,Is Weighted,Is Cumulative,Has StdErr,Has Sample Size,Who may access this signal?,Who may be told about this signal?,License,Use Restrictions,Link to DUA,Link
doctor-visits,smoothed_cli,FALSE,smoothed_cli,FALSE,COVID-Related Doctor Visits,TRUE,Percentage of daily doctor visits that are due to COVID-like symptoms,"Estimated percentage of outpatient doctor visits that are primarily about COVID-related symptoms, based on data from health system partners, smoothed in time using a Gaussian linear smoother",Doctor Visits From Claims,COVID-Related Doctor Visits,covid,Outpatient insurance claims,USA,"county,hrr,msa,state,hhs,nation","hrr,msa,state,hhs,nation",2020-02-01,NA,Ongoing,NA,day,Date,daily,3-6 days,"Daily. The source experiences heavy backfill with data delayed for a couple of weeks. We expect estimates available for the most recent 5-7 days to change substantially in later data revisions (having a median delta of 10% or more). Estimates for dates more than 50 days in the past are expected to remain fairly static (having a median delta of 1% or less), as most major revisions have already occurred.",Nationwide Optum network,None,outpatient visit,Discarded if over a given 7-day period an estimate is computed with 500 or fewer observations,Data is available for about 80% of counties Data is available for all states and some territories.,Percentage,percent,early,bad,TRUE,FALSE,FALSE,FALSE,FALSE,public,public,CC BY-NC,See license. DUA uses generic contract terms.,https://drive.google.com/drive/u/1/folders/11kvTzVR5Yd3lVszxmPHxFZcAYjIpoLcf,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/doctor-visits.html
doctor-visits,smoothed_cli,TRUE,smoothed_adj_cli,FALSE,COVID-Related Doctor Visits (Day-adjusted),TRUE,,"Estimated percentage of outpatient doctor visits that are primarily about COVID-related symptoms, based on data from health system partners, smoothed in time using a Gaussian linear smoother, and adjusted to reduce day-of-week effects",Doctor Visits From Claims,COVID-19 Hospital Admissions from Claims,covid,Outpatient insurance claims,USA,"county,hrr,msa,state,hhs,nation","hrr,msa,state,hhs,nation",2020-02-01,NA,Ongoing,NA,day,Date,daily,3-6 days,"Daily. The source experiences heavy backfill with data delayed for a couple of weeks. We expect estimates available for the most recent 5-7 days to change substantially in later data revisions (having a median delta of 10% or more). Estimates for dates more than 50 days in the past are expected to remain fairly static (having a median delta of 1% or less), as most major revisions have already occurred.",Nationwide Optum network,None,outpatient visit,Discarded if over a given 7-day period an estimate is computed with 500 or fewer observations,Data is available for about 80% of counties Data is available for all states and some territories.,Percentage,percent,early,bad,TRUE,TRUE,FALSE,FALSE,FALSE,public,public,CC BY-NC,See license. DUA uses generic contract terms.,https://drive.google.com/drive/u/1/folders/11kvTzVR5Yd3lVszxmPHxFZcAYjIpoLcf,
dsew-cpr,booster_doses_admin_7dav,FALSE,booster_doses_admin_7dav,FALSE,COVID Vaccine Doses Administered,FALSE,COVID-19 booster vaccine doses administered each day,"COVID-19 booster vaccine doses administered each day, based on the daily Community Profile Report (CPR) published by the Data Strategy and Execution Workgroup of the White House COVID-19 Team, smoothed in time with a 7-day average.

""Doses administered shown by date of report, not date of administration. ... [A] booster dose includes anyone who is fully vaccinated and has received another dose of COVID-19 vaccine since August 13, 2021. This includes people who received booster doses and people who received additional doses."" - from the CPR data dictionary.",COVID-19 Community Profile Report,Community Profile Report COVID-19 Vaccine Doses,covid,Vaccines,USA,"state,hhs,nation",nation,2021-11-01,NA,2023-02-22,NA,day,Day,daily,3-9 days,Daily. This data source is susceptible to large corrections that can create strange data effects such as negative counts and sudden changes of 1M+ counts from one day to the next.,All,None,population,None,Data is available for all counties and some territorial county equivalents. Data is available for all states and some territories.,Value,count,public,good,TRUE,FALSE,FALSE,FALSE,FALSE,public,public,Public Domain US Government (https://www.usa.gov/government-works),See license,NA,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/dsew-cpr.html
dsew-cpr,confirmed_admissions_covid_1d_7dav,FALSE,confirmed_admissions_covid_1d_7dav,FALSE,Confirmed COVID Admissions per day,FALSE,All confirmed COVID-19 hospital admissions occurring each day,"All confirmed COVID-19 hospital admissions occurring each day, based on the daily Community Profile Report published by the Data Strategy and Execution Workgroup of the White House COVID-19 Team, smoothed in time with a 7-day average. 

Other sources of hospital admissions data in COVIDcast include [HHS](https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/hhs.html) and [medical insurance claims](https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/hospital-admissions.html). The CPR differs from these sources in that it is part of the public health surveillance stream (like HHS, unlike claims) but is available at a daily-county level (like claims, unlike HHS). CPR hospital admissions figures at the state level and above are meant to match those from HHS, but are known to differ. See the [Limitations section of the technical documentation](https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/dsew-cpr.html#limitations) for more details.",COVID-19 Community Profile Report,Community Profile Report Confirmed COVID-19 Hospital Admissions,covid,Vaccines,USA,"county,msa,state,hhs,nation",nation,2020-12-16,"Start dates vary by geo: county 2021-01-07, hhs 2020-12-16, msa 2021-01-07, nation 2020-12-16, state 2020-12-16",2023-02-21,NA,day,Date,daily,3-9 days,Daily. This data source is susceptible to large corrections that can create strange data effects such as negative counts and sudden changes of 1M+ counts from one day to the next.,All,None,hospitalized,None,Data is available for all counties and some territorial county equivalents. Data is available for all states and some territories.,Value,count,late,bad,TRUE,FALSE,FALSE,FALSE,FALSE,public,public,Public Domain US Government (https://www.usa.gov/government-works),See license,NA,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/dsew-cpr.html
dsew-cpr,confirmed_admissions_covid_1d_7dav,TRUE,confirmed_admissions_covid_1d_prop_7dav,FALSE,Confirmed COVID Admissions per day (per 100k people),FALSE,,,COVID-19 Community Profile Report,Community Profile Report Confirmed COVID-19 Hospital Admissions,covid,Vaccines,USA,"county,msa,state,hhs,nation",nation,2020-12-16,"Start dates vary by geo: county 2021-01-07, hhs 2020-12-16, msa 2021-01-07, nation 2020-12-16, state 2020-12-16",2023-02-21,NA,day,Date,daily,3-9 days,Daily. This data source is susceptible to large corrections that can create strange data effects such as negative counts and sudden changes of 1M+ counts from one day to the next.,All,None,hospitalized,None,Data is available for all counties and some territorial county equivalents. Data is available for all states and some territories.,Value,per100k,late,bad,TRUE,FALSE,FALSE,FALSE,FALSE,public,public,Public Domain US Government (https://www.usa.gov/government-works),See license,NA,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/dsew-cpr.html
dsew-cpr,covid_naat_pct_positive_7dav,FALSE,covid_naat_pct_positive_7dav,FALSE,Rate of COVID NAAT Test Positivity,FALSE,Rate of COVID NAAT test positivity,"“NAAT positivity rate is the number of positive [SARS-CoV-2 Nucleic Acid Amplification Test (NAAT)] tests divided by the number of [NAAT] tests performed and resulted. See the CDC’s coronavirus resources page for more information on this method. In rare cases, negative test numbers may be reported on a given day to correct previous numbers, and this sometimes results in a calculated test positivity of greater than 100%. In these cases, test positivity is capped at 100%.” - from the CPR data dictionary.

This is reported as a rate, between the values of 0 and 1, not a percent.",COVID-19 Community Profile Report,Community Profile Report COVID-19 Test Positivity,covid,Testing,USA,"county,msa,state,hhs,nation",nation,2020-12-07,NA,2023-02-20,"End dates vary by geo: county 2023-02-13, hhs 2023-02-20, msa 2023-02-20, nation 2023-02-20, state 2023-02-13",day,Date,daily,3-9 days,Daily. This data source is susceptible to large corrections that can create strange data effects.,All,None,infected,"""In rare cases, negative test numbers may be reported on a given day to correct previous numbers, and this sometimes results in a calculated test positivity of greater than 100%. In these cases, test positivity is capped at 100%."" - from the CPR data dictionary.",Data is available for all counties and some territorial county equivalents. Data is available for all states and some territories.,Percentage,fraction,cases_testing,bad,TRUE,FALSE,FALSE,FALSE,FALSE,public,public,Public Domain US Government (https://www.usa.gov/government-works),See license,NA,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/dsew-cpr.html
dsew-cpr,doses_admin_7dav,FALSE,doses_admin_7dav,FALSE,COVID Vaccine Doses Administered,FALSE,COVID-19 vaccine doses administered each day,"COVID-19 vaccine doses administered each day, based on the daily Community Profile Report (CPR) published by the Data Strategy and Execution Workgroup of the White House COVID-19 Team, smoothed in time with a 7-day average.

""Doses administered shown by date of report, not date of administration."" - from the CPR data dictionary.",COVID-19 Community Profile Report,Community Profile Report COVID-19 Vaccine Doses,covid,Vaccines,USA,"state,hhs,nation",nation,2021-05-02,NA,2023-02-22,NA,day,Day,daily,3-9 days,Daily. This data source is susceptible to large corrections that can create strange data effects such as negative counts and sudden changes of 1M+ counts from one day to the next.,All,None,population,None,Data is available for all counties and some territorial county equivalents. Data is available for all states and some territories.,Value,count,public,good,TRUE,FALSE,FALSE,FALSE,FALSE,public,public,Public Domain US Government (https://www.usa.gov/government-works),See license,NA,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/dsew-cpr.html
dsew-cpr,people_booster_doses,FALSE,people_booster_doses,FALSE,COVID Vaccine Doses Administered,FALSE,Cumulative number of people who have received a booster dose of the COVID-19 vaccine,"Cumulative number of people who have received a booster dose of the COVID-19 vaccine, based on the daily Community Profile Report (CPR) published by the Data Strategy and Execution Workgroup of the White House COVID-19 Team, smoothed in time with a 7-day average.

""The count of people who received a booster dose includes anyone who is fully vaccinated and has received another dose of COVID-19 vaccine since 2021-08-13. This includes people who received booster doses and people who received additional doses"" - from the CPR data dictionary.",COVID-19 Community Profile Report,Community Profile Report COVID-19 Booster Recipients,covid,Vaccines,USA,"state,hhs,nation",nation,2021-11-01,NA,2023-02-22,NA,day,Day,daily,3-9 days,Daily. This data source is susceptible to large corrections that can create strange data effects such as negative counts and sudden changes of 1M+ counts from one day to the next.,All,None,population,None,Data is available for all counties and some territorial county equivalents. Data is available for all states and some territories.,Value,count,public,good,FALSE,FALSE,TRUE,FALSE,FALSE,public,public,Public Domain US Government (https://www.usa.gov/government-works),See license,NA,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/dsew-cpr.html
dsew-cpr,people_full_vaccinated,FALSE,people_full_vaccinated,FALSE,People receiving a full initial course of the COVID vaccine,FALSE,Cumulative number of people who have received a full course of the COVID-19 vaccine,"Cumulative number of people who have received a full course of the COVID-19 vaccine, based on the daily Community Profile Report (CPR) published by the Data Strategy and Execution Workgroup of the White House COVID-19 Team, smoothed in time with a 7-day average.

""People fully vaccinated includes those who have received two doses of the Pfizer-BioNTech or Moderna vaccine and those who have received one dose of the J&J/Janssen vaccine"" - from the CPR data dictionary.",COVID-19 Community Profile Report,Community Profile Report COVID-19 Vaccine Recipients,covid,Vaccines,USA,"county,msa,state,hhs,nation",nation,2021-01-15,"Start dates vary by geo: county 2021-04-12, hhs 2021-01-15, msa 2021-04-12, nation 2021-01-15, state 2021-01-15",2023-02-22,NA,day,Day,daily,3-9 days,Daily. This data source is susceptible to large corrections that can create strange data effects such as negative counts and sudden changes of 1M+ counts from one day to the next.,All,None,population,None,Data is available for all counties and some territorial county equivalents. Data is available for all states and some territories.,Value,count,public,good,FALSE,FALSE,TRUE,FALSE,FALSE,public,public,Public Domain US Government (https://www.usa.gov/government-works),See license,NA,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/dsew-cpr.html
fb-survey,raw_wcli,FALSE,raw_wcli,FALSE,COVID-Like Symptoms,FALSE,Estimated percentage of people with COVID-like illness ,"Estimated percentage of people with COVID-like illness 

For this signal, we estimate the percentage of people self-reporting COVID-like symptoms, defined here as fever along with either cough, shortness of breath, or difficulty breathing. While many other conditions can cause these symptoms, comparing the rates of COVID-like symptoms across the country can suggest where COVID is most active.",Delphi US COVID-19 Trends and Impact Survey,CTIS: ILI and CLI Indicators,covid,Self-reported (survey),USA,"county,hrr,msa,state,nation","county,hrr,msa,state,nation",2020-04-06,NA,2022-06-25,NA,day,Date,daily,1 day,"Daily, for 5 consecutive issues for each report date",Adult Facebook users,"None. However, contingency tables containing demographic breakdowns of survey data are available for download (https://cmu-delphi.github.io/delphi-epidata/symptom-survey/contingency-tables.html).",symptomatic,"Discarded if an estimate is based on fewer than 100 survey responses. For signals reported using a 7-day average (those beginning with 'smoothed_'), this means a geographic area must have at least 100 responses in 7 days to be reported.

  This affects some items more than others. For instance, some survey items are only asked of a subset of survey respondents. It also affects some geographic areas more than others, particularly rural areas with low population densities. When doing analysis of county-level data, one should be aware that missing counties are typically more rural and less populous than those present in the data, which may introduce bias into the analysis.","Geographic coverage varies widely by signal, with anywhere from 0.4% to 25% of counties available and 15% to 100% of states. A handful of signals are available for 40-50% of counties, and all states and some territories. Signals based on questions that were asked to a subset of survey respondents are available for fewer locations. Availability declines over time as survey response rate decreases. A missing value indicates no valid data OR, for test positivity, that the value was censored due to small sample size (<= 5)",Percentage,percent,early,bad,FALSE,TRUE,FALSE,TRUE,TRUE,public,public,CC BY,"Aggregationed signals must be based on 100 or more survey responses. Delphi aggregated data has no use restrictions. Raw data users must sign DUA with Delphi, and the proposed research purpose must be consistent with the consent language used in Wave 1, regardless of which survey wave the data they're using comes from. Part- or full-time Facebook employees are not eligible to receive data access.",NA,"[Survey details](https://delphi.cmu.edu/covidcast/surveys/)
[Technical description](https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/fb-survey.html#ili-and-cli-indicators)"
